reference,max_avg,max_breadth,max_aln,max_aln_properPair,min_avg,min_breadth,min_aln,min_aln_properPair,avg_aln
A. laevis,86.18,83.0232,98.14733895439079,77.70885842234085,43.1188,70.0504,79.67032220449892,62.19412691993846,89.60602136248515
H. melanocephalus,99.7241,87.395,95.3951486293861,73.22026306431614,54.6262,80.6285,76.9102469450975,59.52697627600823,85.88865216879958
L. laticaudata,79.4358,79.7107,93.61611981294088,64.97410399924757,44.337,76.043,78.35229375655958,58.80106957130158,84.89057439391038
N. naja,77.4227,74.3503,90.83737498514458,58.121674920917165,37.6955,72.3326,73.4978309241698,51.09170940067391,79.77318540377463
N. scutatus,90.1905,87.3158,95.53968476855357,77.52160100863289,49.2266,78.9298,80.61991033146649,64.73995306064839,87.941373319954
P. textilis,93.4131,90.4538,96.75764319242491,72.95923526133427,48.6422,81.0556,79.96718309715403,63.47261379892139,86.09353661380457
